127.0.0.1 - - [03/Sep/2026:02:34:35 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [03/Sep/2026:02:35:08 +0530] "GET /HotelRoomBookingSystem/ HTTP/1.1" 200 17027
0:0:0:0:0:0:0:1 - - [03/Sep/2026:02:35:08 +0530] "GET /HotelRoomBookingSystem/images/hotel-hero.jpg HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [03/Sep/2026:02:35:08 +0530] "GET /HotelRoomBookingSystem/images/jaipur.jpg HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [03/Sep/2026:02:35:08 +0530] "GET /HotelRoomBookingSystem/images/goa.jpg HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [03/Sep/2026:02:35:08 +0530] "GET /HotelRoomBookingSystem/images/delhi.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [03/Sep/2026:02:35:08 +0530] "GET /HotelRoomBookingSystem/images/kolkata.jpg HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [03/Sep/2026:02:35:08 +0530] "GET /HotelRoomBookingSystem/images/mumbai.jpg HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [03/Sep/2026:02:35:08 +0530] "GET /HotelRoomBookingSystem/images/kerala.jpg HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [03/Sep/2026:02:35:08 +0530] "GET /HotelRoomBookingSystem/images/varanasi.jpg HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [03/Sep/2026:02:35:08 +0530] "GET /HotelRoomBookingSystem/images/agra.jpg HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [03/Sep/2026:02:35:08 +0530] "GET /HotelRoomBookingSystem/destinations HTTP/1.1" 200 62466
0:0:0:0:0:0:0:1 - - [03/Sep/2026:02:35:08 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/Sep/2026:02:35:24 +0530] "GET /HotelRoomBookingSystem/searchHotels?location=Purulia&check_in=2026-09-03&check_out=2026-09-10&adults=2&children=0 HTTP/1.1" 200 3105
0:0:0:0:0:0:0:1 - - [03/Sep/2026:02:35:24 +0530] "GET /HotelRoomBookingSystem/images/hotel-default.jpg HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Sep/2026:02:35:32 +0530] "GET /HotelRoomBookingSystem/rooms?hotel_id=2202&check_in=2026-09-03&check_out=2026-09-10&adults=2&children=0 HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [03/Sep/2026:02:35:32 +0530] "GET /HotelRoomBookingSystem/images/suite-room.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2026:02:35:32 +0530] "GET /HotelRoomBookingSystem/images/deluxe-room.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2026:02:35:37 +0530] "GET /HotelRoomBookingSystem/index.html HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Sep/2026:02:35:49 +0530] "GET /HotelRoomBookingSystem/searchHotels?location=Mumbai&check_in=2026-09-03&check_out=2026-09-10&adults=2&children=0 HTTP/1.1" 200 5301
0:0:0:0:0:0:0:1 - - [03/Sep/2026:02:35:49 +0530] "GET /HotelRoomBookingSystem/images/hotel-default.jpg HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Sep/2026:02:36:02 +0530] "GET /HotelRoomBookingSystem/searchHotels?location=Agra&check_in=2026-09-03&check_out=2026-09-10&adults=2&children=0 HTTP/1.1" 200 6897
0:0:0:0:0:0:0:1 - - [03/Sep/2026:02:36:02 +0530] "GET /HotelRoomBookingSystem/images/hotel-default.jpg HTTP/1.1" 404 807
